,Unnamed: 0.1,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make and Model,Total_passengers,Fatality_Pecentage,Serious_Inj_Percentage,Minor/NonInj_Percentage,City,State,Region
115,8105,Accident,1984-05-01,"DAYTONA BEACH, FL",United States,Non-Fatal,Substantial,,Boeing,A75L300,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1984,Boeing-A75L300,1.0,0.0,0.0,100.0,Daytona Beach,FL,South
116,8207,Incident,1984-05-11,"LOS ANGELES, CA",United States,Incident,Minor,,Boeing,747,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,1.0,UNK,Takeoff,Probable Cause,1984,Boeing-747,1.0,0.0,0.0,100.0,Los Angeles,CA,West
117,8265,Accident,1984-05-17,"COVINGTON, KY",United States,Non-Fatal,,,Boeing,727,No,3.0,Turbo Fan,SCHD,0.0,1.0,12.0,125.0,VMC,Cruise,Probable Cause,1984,Boeing-727,138.0,0.0,0.7246376811594203,99.27536231884058,Covington,KY,South
118,8372,Incident,1984-05-26,"SALT LAKE CITY, UT",United States,Incident,,,Boeing,727200,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,27.0,VMC,Landing,Probable Cause,1984,Boeing-727200,27.0,0.0,0.0,100.0,Salt Lake City,UT,West
119,8447,Accident,1984-05-31,"DENVER, CO",United States,Non-Fatal,Substantial,,Boeing,727222,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,105.0,VMC,Takeoff,Probable Cause,1984,Boeing-727222,105.0,0.0,0.0,100.0,Denver,CO,West
120,8459,Incident,1984-06-02,"FLUSHING, NY",United States,Incident,Minor,,Boeing,72731,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,66.0,VMC,Takeoff,Probable Cause,1984,Boeing-72731,66.0,0.0,0.0,100.0,Flushing,NY,Northeast
121,8502,Incident,1984-06-05,"PHILADELPHIA, PA",United States,Incident,,,Boeing,720025,No,4.0,Turbo Fan,,0.0,0.0,0.0,95.0,VMC,Takeoff,Probable Cause,1984,Boeing-720025,95.0,0.0,0.0,100.0,Philadelphia,PA,Northeast
122,8556,Accident,1984-06-09,"FRIENDSWOOD, TX",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1984,Boeing-A75N1,2.0,0.0,0.0,100.0,Friendswood,TX,South
123,8579,Incident,1984-06-11,"SAN FRANCISCO, CA",United States,Incident,Minor,,Boeing,747122,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,4.0,VMC,Approach,Probable Cause,1984,Boeing-747122,4.0,0.0,0.0,100.0,San Francisco,CA,West
124,8722,Incident,1984-06-23,"CHICAGO, IL",United States,Incident,Minor,,Boeing,707323C,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,4.0,IMC,Approach,Probable Cause,1984,Boeing-707323C,4.0,0.0,0.0,100.0,Chicago,IL,Midwest
125,8782,Incident,1984-06-27,"PORTLAND, ME",United States,Incident,Minor,,Boeing,737130,No,2.0,Turbo Fan,SCHD,0.0,0.0,2.0,121.0,VMC,Descent,Probable Cause,1984,Boeing-737130,123.0,0.0,0.0,100.0,Portland,ME,Northeast
126,8866,Incident,1984-07-03,"DENVER, CO",United States,Incident,Minor,,Boeing,72723,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,75.0,VMC,Landing,Probable Cause,1984,Boeing-72723,75.0,0.0,0.0,100.0,Denver,CO,West
127,8948,Incident,1984-07-09,"PORTLAND, OR",United States,Incident,,,Boeing,B737222,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,71.0,VMC,Climb,Probable Cause,1984,Boeing-B737222,71.0,0.0,0.0,100.0,Portland,OR,West
128,9031,Incident,1984-07-16,"MARIETTA, GA",United States,Incident,,,Boeing,Kc135A,No,4.0,Turbo Jet,,0.0,0.0,0.0,45.0,VMC,Cruise,Probable Cause,1984,Boeing-Kc135A,45.0,0.0,0.0,100.0,Marietta,GA,South
129,9032,Incident,1984-07-16,"MARIETTA, GA",United States,Incident,,,Boeing,727225,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,45.0,VMC,Cruise,Probable Cause,1984,Boeing-727225,45.0,0.0,0.0,100.0,Marietta,GA,South
130,9033,Incident,1984-07-16,"CHICAGO, IL",United States,Incident,Minor,,Boeing,727200,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,91.0,VMC,Takeoff,Probable Cause,1984,Boeing-727200,91.0,0.0,0.0,100.0,Chicago,IL,Midwest
131,9118,Accident,1984-07-22,"HUNTLEY, IL",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,1984,Boeing-A75N1,4.0,0.0,0.0,100.0,Huntley,IL,Midwest
132,9147,Incident,1984-07-25,"MINNEAPOLIS, MN",United States,Incident,,,Boeing,7272M7,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,127.0,VMC,Climb,Probable Cause,1984,Boeing-7272M7,127.0,0.0,0.0,100.0,Minneapolis,MN,Midwest
133,9151,Accident,1984-07-25,"WICHITA FALLS, TX",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,1.0,1.0,0.0,VMC,Climb,Probable Cause,1984,Boeing-A75N1,2.0,0.0,50.0,50.0,Wichita Falls,TX,South
134,9158,Incident,1984-07-26,"BUFFALO, NY",United States,Incident,Minor,,Boeing,727232,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,105.0,VMC,Approach,Probable Cause,1984,Boeing-727232,105.0,0.0,0.0,100.0,Buffalo,NY,Northeast
135,9353,Accident,1984-08-11,"CUMMING, GA",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,1984,Boeing-A75N1,2.0,0.0,0.0,100.0,Cumming,GA,South
136,9483,Accident,1984-08-22,"ORLANDO, FL",United States,Non-Fatal,Minor,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,1984,Boeing-A75N1,4.0,0.0,0.0,100.0,Orlando,FL,South
137,9581,Incident,1984-08-29,"MADISON, WI",United States,Incident,,,Boeing,737291,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,108.0,VMC,Takeoff,Probable Cause,1984,Boeing-737291,108.0,0.0,0.0,100.0,Madison,WI,Midwest
138,9598,Accident,1984-08-30,"KALISPELL, MT",United States,Fatal(1),Substantial,,Boeing,Stearman E75,No,1.0,Reciprocating,UNK,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1984,Boeing-Stearman E75,1.0,100.0,0.0,0.0,Kalispell,MT,West
140,9921,Incident,1984-09-29,"SEATTLE, WA",United States,Incident,Minor,,Boeing,747200B,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,172.0,VMC,Climb,Probable Cause,1984,Boeing-747200B,172.0,0.0,0.0,100.0,Seattle,WA,West
141,9936,Incident,1984-09-30,"AKRON, OH",United States,Incident,,,Boeing,Vc137Bbn,No,4.0,Turbo Fan,,0.0,0.0,0.0,47.0,IMC,Climb,Probable Cause,1984,Boeing-Vc137Bbn,47.0,0.0,0.0,100.0,Akron,OH,Midwest
142,10078,Incident,1984-10-17,"LAS VEGAS, NV",United States,Incident,,,Boeing,727227,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,30.0,VMC,Climb,Probable Cause,1984,Boeing-727227,30.0,0.0,0.0,100.0,Las Vegas,NV,West
143,10085,Incident,1984-10-18,"SEATTLE, WA",United States,Incident,,,Boeing,Vc137Bbn,No,4.0,Turbo Fan,,0.0,0.0,0.0,50.0,VMC,Approach,Probable Cause,1984,Boeing-Vc137Bbn,50.0,0.0,0.0,100.0,Seattle,WA,West
144,10192,Incident,1984-11-01,"LOS ANGELES, CA",United States,Incident,Minor,,Boeing,747131,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,365.0,VMC,Taxi,Probable Cause,1984,Boeing-747131,365.0,0.0,0.0,100.0,Los Angeles,CA,West
145,10224,Accident,1984-11-05,"ELY, NV",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1984,Boeing-A75N1,1.0,0.0,0.0,100.0,Ely,NV,West
146,10259,Accident,1984-11-10,"RUSTBURGH, VA",United States,Non-Fatal,Substantial,,Boeing,75,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1984,Boeing-75,1.0,0.0,0.0,100.0,Rustburgh,VA,South
147,10301,Accident,1984-11-16,"HONOLULU, HI",United States,Non-Fatal,Substantial,,Boeing,747122,No,4.0,Turbo Fan,SCHD,0.0,2.0,38.0,371.0,VMC,Takeoff,Probable Cause,1984,Boeing-747122,411.0,0.0,0.4866180048661801,99.51338199513384,Honolulu,HI,West
148,10417,Incident,1984-12-04,"ATLANTA, GA",United States,Incident,Minor,,Boeing,727251,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,99.0,VMC,Cruise,Probable Cause,1984,Boeing-727251,99.0,0.0,0.0,100.0,Atlanta,GA,South
149,10526,Incident,1984-12-20,"NEW ORLEANS, LA",United States,Incident,,,Boeing,747200,No,4.0,Turbo Fan,NSCH,0.0,0.0,0.0,365.0,VMC,Approach,Probable Cause,1984,Boeing-747200,365.0,0.0,0.0,100.0,New Orleans,LA,South
150,10706,Incident,1985-01-17,"FLUSHING, NY",United States,Incident,Minor,,Boeing,727224,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,86.0,IMC,Takeoff,Probable Cause,1985,Boeing-727224,86.0,0.0,0.0,100.0,Flushing,NY,Northeast
151,10734,Incident,1985-01-23,"STEAMBOAT SPRIN, CO",United States,Incident,,,Boeing,737291,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,107.0,VMC,Descent,Probable Cause,1985,Boeing-737291,107.0,0.0,0.0,100.0,Steamboat Sprin,CO,West
152,10752,Incident,1985-01-26,"ST. PAUL, MN",United States,Incident,Minor,,Boeing,72751,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,61.0,IMC,Approach,Probable Cause,1985,Boeing-72751,61.0,0.0,0.0,100.0,St. Paul,MN,Midwest
153,10910,Accident,1985-02-19,"HOLMWOOD, LA",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,1.0,0.0,IMC,Cruise,Probable Cause,1985,Boeing-A75N1,1.0,0.0,0.0,100.0,Holmwood,LA,South
154,10913,Accident,1985-02-19,"SAN FRANCISCO, CA",United States,Non-Fatal,Substantial,,Boeing,747 Sp09,No,4.0,Turbo Fan,SCHD,0.0,2.0,0.0,271.0,IMC,Cruise,Probable Cause,1985,Boeing-747 Sp09,273.0,0.0,0.7326007326007326,99.26739926739927,San Francisco,CA,West
155,11022,Accident,1985-03-05,"BLYTHE, CA",United States,Non-Fatal,Substantial,,Boeing,B75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1985,Boeing-B75N1,1.0,0.0,0.0,100.0,Blythe,CA,West
156,11161,Accident,1985-03-22,"MARSTON MILLS, MA",United States,Non-Fatal,Substantial,,Boeing,Jb75,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1985,Boeing-Jb75,2.0,0.0,0.0,100.0,Marston Mills,MA,Northeast
157,11179,Incident,1985-03-24,"CHATTAN00GR, TN",United States,Incident,,,Boeing,727100,No,3.0,Turbo Jet,NSCH,0.0,0.0,1.0,130.0,VMC,Cruise,Probable Cause,1985,Boeing-727100,131.0,0.0,0.0,100.0,Chattan00Gr,TN,South
158,11313,Incident,1985-04-12,"CHANTILLY, VA",United States,Incident,Minor,,Boeing,737217,No,2.0,Turbo Jet,SCHD,0.0,0.0,0.0,107.0,VMC,Taxi,Probable Cause,1985,Boeing-737217,107.0,0.0,0.0,100.0,Chantilly,VA,South
159,11347,Incident,1985-04-16,"LAS CRUCES, NM",United States,Incident,Minor,,Boeing,727227,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,89.0,VMC,Cruise,Probable Cause,1985,Boeing-727227,89.0,0.0,0.0,100.0,Las Cruces,NM,West
161,11433,Accident,1985-04-23,"LITTLE ROCK, AR",United States,Non-Fatal,,,Boeing,727223,No,3.0,Turbo Jet,SCHD,0.0,1.0,1.0,3.0,UNK,Cruise,Probable Cause,1985,Boeing-727223,5.0,0.0,20.0,80.0,Little Rock,AR,South
162,11445,Incident,1985-04-25,"DETROIT, MI",United States,Incident,,,Boeing,747123,No,4.0,Turbo Fan,NSCH,0.0,0.0,42.0,439.0,VMC,Standing,Probable Cause,1985,Boeing-747123,481.0,0.0,0.0,100.0,Detroit,MI,Midwest
163,11474,Accident,1985-04-27,"AURORA, CO",United States,Non-Fatal,Substantial,,Boeing,Pt 17,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1985,Boeing-Pt 17,2.0,0.0,0.0,100.0,Aurora,CO,West
164,11489,Accident,1985-04-28,"AMARILLO, TX",United States,Non-Fatal,Substantial,,Boeing,737300,No,2.0,Turbo Fan,NSCH,0.0,0.0,1.0,132.0,IMC,Landing,Probable Cause,1985,Boeing-737300,133.0,0.0,0.0,100.0,Amarillo,TX,South
165,11614,Incident,1985-05-11,"D/FW AIRPORT, TX",United States,Incident,Minor,,Boeing,B767232,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,53.0,VMC,Takeoff,Probable Cause,1985,Boeing-B767232,53.0,0.0,0.0,100.0,D/Fw Airport,TX,South
166,11696,Accident,1985-05-19,"GRAND JUNCTION, CO",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1985,Boeing-A75N1,1.0,0.0,0.0,100.0,Grand Junction,CO,West
167,11763,Accident,1985-05-26,"TEA, SD",United States,Non-Fatal,Substantial,,Boeing,A75,No,1.0,Reciprocating,,0.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1985,Boeing-A75,2.0,0.0,100.0,0.0,Tea,SD,Midwest
168,11767,Incident,1985-05-27,"CHICAGO, IL",United States,Incident,Minor,,Boeing,727023,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,121.0,VMC,Approach,Probable Cause,1985,Boeing-727023,121.0,0.0,0.0,100.0,Chicago,IL,Midwest
169,11959,Accident,1985-06-16,"VERO BEACH, FL",United States,Non-Fatal,,,Boeing,B737201,No,2.0,Turbo Jet,SCHD,0.0,1.0,1.0,43.0,VMC,Cruise,Probable Cause,1985,Boeing-B737201,45.0,0.0,2.2222222222222223,97.77777777777777,Vero Beach,FL,South
170,11972,Accident,1985-06-16,"DECKERVILLE, MI",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,1985,Boeing-A75N1,2.0,0.0,0.0,100.0,Deckerville,MI,Midwest
171,12039,Accident,1985-06-23,"SOUTH HAVEN, MI",United States,Non-Fatal,,,Boeing,727,No,3.0,Turbo Fan,SCHD,0.0,2.0,2.0,71.0,VMC,Descent,Probable Cause,1985,Boeing-727,75.0,0.0,2.666666666666667,97.33333333333334,South Haven,MI,Midwest
172,12086,Incident,1985-06-27,"LOS ANGELES, CA",United States,Incident,Minor,,Boeing,737247,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,96.0,VMC,Cruise,Probable Cause,1985,Boeing-737247,96.0,0.0,0.0,100.0,Los Angeles,CA,West
173,12264,Accident,1985-07-13,"EARLE, AR",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1985,Boeing-A75N1,2.0,0.0,0.0,100.0,Earle,AR,South
174,12498,Accident,1985-07-30,"DELAVAN, WI",United States,Non-Fatal,Substantial,,Boeing,E75,No,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1985,Boeing-E75,1.0,0.0,0.0,100.0,Delavan,WI,Midwest
175,12577,Accident,1985-08-07,"FAIRFIELD, IA",United States,Non-Fatal,Substantial,,Boeing,E75,No,1.0,Reciprocating,UNK,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1985,Boeing-E75,1.0,0.0,0.0,100.0,Fairfield,IA,Midwest
176,12619,Incident,1985-08-11,"RICHMOND, VA",United States,Incident,Minor,,Boeing,727225,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,78.0,VMC,Cruise,Probable Cause,1985,Boeing-727225,78.0,0.0,0.0,100.0,Richmond,VA,South
177,12819,Incident,1985-08-29,"CHARLESTON, SC",United States,Incident,,,Boeing,727225,No,3.0,Turbo Fan,SCHD,0.0,0.0,7.0,118.0,IMC,Cruise,Probable Cause,1985,Boeing-727225,125.0,0.0,0.0,100.0,Charleston,SC,South
178,12990,Incident,1985-09-15,"JAMAICA, NY",United States,Incident,Minor,,Boeing,747130,No,4.0,Turbo Fan,NSCH,0.0,0.0,0.0,507.0,VMC,Landing,Probable Cause,1985,Boeing-747130,507.0,0.0,0.0,100.0,Jamaica,NY,Northeast
179,13092,Accident,1985-09-25,"UNALASKA, AK",United States,Non-Fatal,Substantial,,Boeing,7372X6C,No,2.0,Turbo Fan,SCHD,0.0,0.0,1.0,20.0,VMC,Approach,Probable Cause,1985,Boeing-7372X6C,21.0,0.0,0.0,100.0,Unalaska,AK,West
180,13113,Incident,1985-09-29,"DENVER, CO",United States,Incident,Minor,,Boeing,727100,No,3.0,Turbo Fan,NSCH,0.0,0.0,0.0,71.0,VMC,Approach,Probable Cause,1985,Boeing-727100,71.0,0.0,0.0,100.0,Denver,CO,West
181,13237,Accident,1985-10-13,"SCHELLVILLE, CA",United States,Fatal(1),Destroyed,,Boeing,A75N1,No,1.0,Reciprocating,,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1985,Boeing-A75N1,1.0,100.0,0.0,0.0,Schellville,CA,West
182,13309,Incident,1985-10-24,"FLUSHING, NY",United States,Incident,,,Boeing,B767,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,421.0,VMC,Taxi,Probable Cause,1985,Boeing-B767,421.0,0.0,0.0,100.0,Flushing,NY,Northeast
183,13311,Incident,1985-10-24,"OAKLAND, CA",United States,Incident,Minor,,Boeing,727200,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,90.0,IMC,Taxi,Probable Cause,1985,Boeing-727200,90.0,0.0,0.0,100.0,Oakland,CA,West
184,13386,Accident,1985-11-03,"CHARLESTON, WV",United States,Non-Fatal,,,Boeing,737,No,2.0,Turbo Jet,SCHD,0.0,1.0,1.0,58.0,VMC,Climb,Probable Cause,1985,Boeing-737,60.0,0.0,1.6666666666666667,98.33333333333331,Charleston,WV,South
185,13412,Accident,1985-11-07,"BELLEVUE, NE",United States,Non-Fatal,Substantial,,Boeing,72723,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,71.0,VMC,Approach,Probable Cause,1985,Boeing-72723,71.0,0.0,0.0,100.0,Bellevue,NE,Midwest
186,13512,Incident,1985-11-26,"CASPER, WY",United States,Incident,Minor,,Boeing,727100,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,111.0,VMC,Standing,Probable Cause,1985,Boeing-727100,111.0,0.0,0.0,100.0,Casper,WY,West
187,13525,Incident,1985-11-28,"GLEN ELLYN, IL",United States,Incident,Minor,,Boeing,747251F,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,3.0,IMC,Climb,Probable Cause,1985,Boeing-747251F,3.0,0.0,0.0,100.0,Glen Ellyn,IL,Midwest
188,13627,Accident,1985-12-15,"BOSTON, MA",United States,Non-Fatal,Substantial,,Boeing,747136,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,269.0,VMC,Approach,Probable Cause,1985,Boeing-747136,269.0,0.0,0.0,100.0,Boston,MA,Northeast
189,13679,Incident,1985-12-28,"FORT LAUDERDALE, FL",United States,Incident,Minor,,Boeing,727232,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,131.0,VMC,Takeoff,Probable Cause,1985,Boeing-727232,131.0,0.0,0.0,100.0,Fort Lauderdale,FL,South
190,13723,Incident,1986-01-03,"DALLAS, TX",United States,Incident,Minor,,Boeing,7372H4,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,44.0,VMC,Takeoff,Probable Cause,1986,Boeing-7372H4,44.0,0.0,0.0,100.0,Dallas,TX,South
191,13754,Incident,1986-01-09,"MEMPHIS, TN",United States,Incident,Minor,,Boeing,727232,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,38.0,VMC,Landing,Probable Cause,1986,Boeing-727232,38.0,0.0,0.0,100.0,Memphis,TN,South
192,13805,Accident,1986-01-17,"LOUDON COUNTY, VA",United States,Non-Fatal,Substantial,,Boeing,727225,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,131.0,VMC,Approach,Probable Cause,1986,Boeing-727225,131.0,0.0,0.0,100.0,Loudon County,VA,South
193,13812,Accident,1986-01-18,"YUKON, OK",United States,Non-Fatal,Substantial,,Boeing,A75N1,No,1.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1986,Boeing-A75N1,2.0,0.0,0.0,100.0,Yukon,OK,South
194,13816,Accident,1986-01-19,"LAS VEGAS, NV",United States,Non-Fatal,,,Boeing,727214,No,3.0,Turbo Fan,NSCH,0.0,1.0,7.0,138.0,VMC,Climb,Probable Cause,1986,Boeing-727214,146.0,0.0,0.6849315068493149,99.31506849315069,Las Vegas,NV,West
195,13866,Incident,1986-01-27,"MIAMI, FL",United States,Incident,,,Boeing,747123,No,4.0,Turbo Fan,SCHD,0.0,0.0,16.0,224.0,VMC,Takeoff,Probable Cause,1986,Boeing-747123,240.0,0.0,0.0,100.0,Miami,FL,South
196,13915,Incident,1986-02-05,"NEW YORK, NY",United States,Incident,Minor,,Boeing,727225,No,3.0,Turbo Jet,SCHD,0.0,0.0,0.0,8.0,VMC,Standing,Probable Cause,1986,Boeing-727225,8.0,0.0,0.0,100.0,New York,NY,Northeast
197,13919,Incident,1986-02-06,"CHICAGO, IL",United States,Incident,Minor,,Boeing,72722,No,3.0,Turbo Jet,SCHD,0.0,0.0,1.0,51.0,VMC,Descent,Probable Cause,1986,Boeing-72722,52.0,0.0,0.0,100.0,Chicago,IL,Midwest
198,13928,Incident,1986-02-08,"HARLINGEN, TX",United States,Incident,Minor,,Boeing,727223,No,4.0,Turbo Fan,SCHD,0.0,0.0,0.0,134.0,IMC,Approach,Probable Cause,1986,Boeing-727223,134.0,0.0,0.0,100.0,Harlingen,TX,South
199,14000,Accident,1986-02-20,"DENVER, CO",United States,Non-Fatal,Substantial,,Boeing,737300,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,111.0,VMC,Takeoff,Probable Cause,1986,Boeing-737300,111.0,0.0,0.0,100.0,Denver,CO,West
200,14083,Accident,1986-03-03,"HONOLULU, HI",United States,Non-Fatal,,,Boeing,747122,No,4.0,Turbo Fan,SCHD,0.0,2.0,7.0,331.0,VMC,Cruise,Probable Cause,1986,Boeing-747122,340.0,0.0,0.5882352941176471,99.41176470588236,Honolulu,HI,West
201,14138,Accident,1986-03-12,"MEMPHIS, TN",United States,Non-Fatal,,,Boeing,727223,No,3.0,Turbo Fan,SCHD,0.0,1.0,1.0,68.0,VMC,Climb,Probable Cause,1986,Boeing-727223,70.0,0.0,1.4285714285714286,98.57142857142858,Memphis,TN,South
202,14163,Incident,1986-03-16,"MIAMI, FL",United States,Incident,Minor,,Boeing,727,No,3.0,Turbo Fan,SCHD,0.0,0.0,0.0,140.0,VMC,Approach,Probable Cause,1986,Boeing-727,140.0,0.0,0.0,100.0,Miami,FL,South
203,14195,Incident,1986-03-21,"NASVILLE, TN",United States,Incident,,,Boeing,737200,No,2.0,Turbo Fan,SCHD,0.0,0.0,0.0,131.0,VMC,Descent,Probable Cause,1986,Boeing-737200,131.0,0.0,0.0,100.0,Nasville,TN,South
